row_id,study_id,polygon,coder,citation_screening,exclude_why,citation,fulltext_screening,study_year,intervention_full_name,intervention_dim,intervention_cat,intervention_simple_name,sub_intervention_name,unit,outcome_dim,outcome_cat,outcome_catdim,outcome_indicator_full,outcome_impact,outcome_comment,budget,staff,monitoring,enforcement,clear_rules,gazetted,management,compliance,funding,conflict_resol,stake_agency,decision_making,fishery_type,age,size,size_unit,depth_cat,material_cat,livdiv_process,livdiv_pathway,gear_managed,last_heat_stress,heat_stress_freq,connectivity,cyclone_freq,sediments,nutrients,market_gravity,coastal_pop,ports,tourism,mardep_nutri,mardep_eco,ggi,hdi,wgi,gini,study_design,country,region,location,lat,lon,data_year,cost_USD,paired_intervention_1,paired_intervention_2,mardep,sednutr,n_case_studies,record_weight
320,livelihood_div_192,no,lauric,yes,NA,"Hair, C; Foale, S; Kinch, J; Frijlink, S; Lindsay, D; Southgate, PC Socioeconomic impacts of a sea cucumber fishery in papua new guinea: is there an opportunity for mariculture? (2019) Ocean & Coastal Management",yes,2019,Sea Cucumber Temporary Moratorium - New Ireland Province,FishMan,Temporal Closures,FishMan - Temporal Closures,Periodically Harvested Closure,fishers,People,Social,People - Social,community cohesion,beneficial,,NA,NA,NA,acceptable capacity/resources to enforce legislation and regulations,NA,NA,state managed,NA,NA,NA,NA,NA,NA,0.7000000000000455,NA,NA,NA,NA,NA,NA,NA,4,3,0.57021,0.76178,0.634820509048109,0.637075525583624,0.653312356015059,0.715638508315627,0,0,NA,0.35,0.725,0.5919466912746429,-0.6294817067682742,438.5,BACI/BA,Papua New Guinea,Melanesia,Limanak,-2.688422,150.763373,2017.7,,NA,NA,0.35,0.6359480173158665,37,0.3333333333333333
321,livelihood_div_192,no,lauric,yes,NA,"Hair, C; Foale, S; Kinch, J; Frijlink, S; Lindsay, D; Southgate, PC Socioeconomic impacts of a sea cucumber fishery in papua new guinea: is there an opportunity for mariculture? (2019) Ocean & Coastal Management",yes,2019,Sea Cucumber Temporary Moratorium - New Ireland Province,FishMan,Temporal Closures,FishMan - Temporal Closures,Periodically Harvested Closure,fishers,People,Health,People - Health,food security/diversity,beneficial,,NA,NA,NA,acceptable capacity/resources to enforce legislation and regulations,NA,NA,state managed,NA,NA,NA,NA,NA,NA,0.7000000000000455,NA,NA,NA,NA,NA,NA,NA,4,3,0.57021,0.76178,0.634820509048109,0.637075525583624,0.653312356015059,0.715638508315627,0,0,NA,0.35,0.725,0.5919466912746429,-0.6294817067682742,438.5,BACI/BA,Papua New Guinea,Melanesia,Limanak,-2.688422,150.763373,2017.7,,NA,NA,0.35,0.6359480173158665,37,0.3333333333333333
322,livelihood_div_192,no,lauric,yes,NA,"Hair, C; Foale, S; Kinch, J; Frijlink, S; Lindsay, D; Southgate, PC Socioeconomic impacts of a sea cucumber fishery in papua new guinea: is there an opportunity for mariculture? (2019) Ocean & Coastal Management",yes,2019,Sea Cucumber Temporary Moratorium - New Ireland Province,FishMan,Temporal Closures,FishMan - Temporal Closures,Periodically Harvested Closure,fishers,People,Governance,People - Governance,satisfaction,mixed,,NA,NA,NA,acceptable capacity/resources to enforce legislation and regulations,NA,NA,state managed,NA,NA,NA,NA,NA,NA,0.7000000000000455,NA,NA,NA,NA,NA,NA,NA,4,3,0.57021,0.76178,0.634820509048109,0.637075525583624,0.653312356015059,0.715638508315627,0,0,NA,0.35,0.725,0.5919466912746429,-0.6294817067682742,438.5,BACI/BA,Papua New Guinea,Melanesia,Limanak,-2.688422,150.763373,2017.7,,NA,NA,0.35,0.6359480173158665,37,0.3333333333333333
323,livelihood_div_256,no,lauric,yes,NA,"Mirera, DO; Kimathi, A; Ngarari, MM; Magondu, EW; Wainaina, M; Ototo, A Societal and environmental impacts of seaweed farming in relation to rural development: the case of kibuyuni village, south coast, kenya (2020) Ocean & Coastal Management",yes,2020,Seaweed Farming - Kibuyuni,SocioDev,Livelihood Diversification,SocioDev - Livelihood Diversification,Aquaculture,coastal communities,People,Social,People - Social,community infrastructure,beneficial,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,Exogenous,Disparity,NA,2,2,0.70248,0.76178,0.991981756657349,0.93256315294898,0.948418272742597,0.778591838229907,0,0.855923510879918,NA,0.18,0.506,0.5278710533932942,-0.555830652515093,408,BACI/BA,Kenya,Western Indian Ocean,Kibuyuni,-4.640273,39.341753,2018,,NA,NA,0.18,0.9622724548031645,37,0.5
324,livelihood_div_256,no,lauric,yes,NA,"Mirera, DO; Kimathi, A; Ngarari, MM; Magondu, EW; Wainaina, M; Ototo, A Societal and environmental impacts of seaweed farming in relation to rural development: the case of kibuyuni village, south coast, kenya (2020) Ocean & Coastal Management",yes,2020,Seaweed Farming - Kibuyuni,SocioDev,Livelihood Diversification,SocioDev - Livelihood Diversification,Aquaculture,coastal communities,People,Economic,People - Economic,income,beneficial,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,Exogenous,Disparity,NA,2,2,0.70248,0.76178,0.991981756657349,0.93256315294898,0.948418272742597,0.778591838229907,0,0.855923510879918,NA,0.18,0.506,0.5278710533932942,-0.555830652515093,408,BACI/BA,Kenya,Western Indian Ocean,Kibuyuni,-4.640273,39.341753,2018,,NA,NA,0.18,0.9622724548031645,37,1
325,livelihood_div_256,no,lauric,yes,NA,"Mirera, DO; Kimathi, A; Ngarari, MM; Magondu, EW; Wainaina, M; Ototo, A Societal and environmental impacts of seaweed farming in relation to rural development: the case of kibuyuni village, south coast, kenya (2020) Ocean & Coastal Management",yes,2020,Seaweed Farming - Kibuyuni,SocioDev,Livelihood Diversification,SocioDev - Livelihood Diversification,Aquaculture,coastal communities,People,Health,People - Health,"medical bills, food",beneficial,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,Exogenous,Disparity,NA,2,2,0.70248,0.76178,0.991981756657349,0.93256315294898,0.948418272742597,0.778591838229907,0,0.855923510879918,NA,0.18,0.506,0.5278710533932942,-0.555830652515093,408,BACI/BA,Kenya,Western Indian Ocean,Kibuyuni,-4.640273,39.341753,2018,,NA,NA,0.18,0.9622724548031645,37,1
326,livelihood_div_256,no,lauric,yes,NA,"Mirera, DO; Kimathi, A; Ngarari, MM; Magondu, EW; Wainaina, M; Ototo, A Societal and environmental impacts of seaweed farming in relation to rural development: the case of kibuyuni village, south coast, kenya (2020) Ocean & Coastal Management",yes,2020,Seaweed Farming - Kibuyuni,SocioDev,Livelihood Diversification,SocioDev - Livelihood Diversification,Aquaculture,fish,Nature,Functions,Nature - Functions,trophic structure,mixed,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,Exogenous,Disparity,NA,2,2,0.70248,0.76178,0.991981756657349,0.93256315294898,0.948418272742597,0.778591838229907,0,0.855923510879918,NA,0.18,0.506,0.5278710533932942,-0.555830652515093,408,BACI/BA,Kenya,Western Indian Ocean,Kibuyuni,-4.640273,39.341753,2018,,NA,NA,0.18,0.9622724548031645,37,1
327,TransplRestock_90,no,lauric,yes,NA,"Vandenberg, J; Humphries, A; Garcia-Quijanoa, C; Moore, A; Pollnac, R; Abdullah, S Assessing indicators and limitations of food security objectives in coral reef restoration (2021) Conservation & Society",yes,2021,Mars Coral Reef Restoration Project - Restoration Village,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,abundance,beneficial,,NA,NA,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,1.1000000000001364,NA,NA,NA,NA,NA,NA,NA,2,4,0.19236,0.76178,0.832609974988966,0.955244781014501,0.850068363581877,0.470309180159719,0,0.839035826800498,0.48,0.22,0.444,0.7307024414722736,-0.054462070266405656,380,Qualitative,Indonesia,Southeast Asia,Pulau Bontusoa,-4.928253,119.320482,2018.7,,FishMan - Gear Management,NA,0.35,0.8939273780017336,67,0.3333333333333333
328,TransplRestock_183,no,lauric,yes,NA,"Lamont, TAC; Williams, B; Chapuis, L; Prasetya, ME; Seraphim, MJ; Harding, HR; May, EB; Janetski, N; Jompa, J; Smith, DJ; Radford, AN; Simpson, SD The sound of recovery: coral reef restoration success is detectable in the soundscape (2022) Journal Of Applied Ecology",yes,2022,Mars Coral Reef Restoration Project - Restoration Village,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,abundance,beneficial,,NA,NA,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,1.900000000000091,NA,NA,NA,NA,NA,NA,NA,0,5,0.19236,0.76178,0.824573341179932,0.953181139793267,0.85066771553258,0.579383104989377,0,0.949666642244853,0.48,0.22,0.444,0.7427728516714913,-0.054462070266405656,378.6666666666667,CI/Distance,Indonesia,Southeast Asia,Pulau Badi and Bontosua Islands,-4.967506,119.2875,2019.5,,FishMan - Gear Management,FishMan - Species Restrictions,0.35,0.8888772404865994,67,0.3333333333333333
329,TransplRestock_183,no,lauric,yes,NA,"Lamont, TAC; Williams, B; Chapuis, L; Prasetya, ME; Seraphim, MJ; Harding, HR; May, EB; Janetski, N; Jompa, J; Smith, DJ; Radford, AN; Simpson, SD The sound of recovery: coral reef restoration success is detectable in the soundscape (2022) Journal Of Applied Ecology",yes,2022,Mars Coral Reef Restoration Project - Restoration Village,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Functions,Nature - Functions,herbivore abundance,neutral,,NA,NA,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,1.900000000000091,NA,NA,NA,NA,NA,NA,NA,0,5,0.19236,0.76178,0.824573341179932,0.953181139793267,0.85066771553258,0.579383104989377,0,0.949666642244853,0.48,0.22,0.444,0.7427728516714913,-0.054462070266405656,378.6666666666667,CI/Distance,Indonesia,Southeast Asia,Pulau Badi and Bontosua Islands,-4.967506,119.2875,2019.5,,FishMan - Gear Management,FishMan - Species Restrictions,0.35,0.8888772404865994,67,1
330,TransplRestock_183,no,lauric,yes,NA,"Lamont, TAC; Williams, B; Chapuis, L; Prasetya, ME; Seraphim, MJ; Harding, HR; May, EB; Janetski, N; Jompa, J; Smith, DJ; Radford, AN; Simpson, SD The sound of recovery: coral reef restoration success is detectable in the soundscape (2022) Journal Of Applied Ecology",yes,2022,Mars Coral Reef Restoration Project - Restoration Village,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,phonic richness,beneficial,,NA,NA,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,1.900000000000091,NA,NA,NA,NA,NA,NA,NA,0,5,0.19236,0.76178,0.824573341179932,0.953181139793267,0.85066771553258,0.579383104989377,0,0.949666642244853,0.48,0.22,0.444,0.7427728516714913,-0.054462070266405656,378.6666666666667,CI/Distance,Indonesia,Southeast Asia,Pulau Badi and Bontosua Islands,-4.967506,119.2875,2019.5,,FishMan - Gear Management,FishMan - Species Restrictions,0.35,0.8888772404865994,67,0.3333333333333333
331,TransplRestock_104,no,lauric,yes,NA,"Biondi, P; Masucci, GD; Reimer, JD Coral cover and rubble cryptofauna abundance and diversity at outplanted reefs in okinawa, japan (2020) Peerj",yes,2020,Coral Reef Preservation and Rehabilitation Project,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,abundance,neutral,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,7.900000000000091,NA,NA,NA,NA,NA,NA,NA,3,3,0.27706,-4.93898,0.712078858319847,0.790135057947782,0.973010432469892,0.98827752948934,0,0.996593157007839,0.38,0.06,0.083,0.8688435862804281,1.3379767537117018,329,CI/Distance,Japan,North Pacific Ocean,"Onna and Maeganeku Farms, Okinawa",26.44017,127.789846,2019.9,,NA,NA,0.22,0.7511069581338146,67,1
332,TransplRestock_210,no,lauric,yes,NA,"Knoester, EG; Rienstra, JJ; Schurmann, QJF; Wolma, AE; Murk, AJ; Osinga, R Community-managed coral reef restoration in southern kenya initiates reef recovery using various artificial reef designs (2023) Frontiers In Marine Science",yes,2023,Restoration Experiment - Mkwiro Beach Management Unit,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Habitat,Nature - Habitat,abundance,beneficial,,NA,NA,NA,NA,NA,NA,scientific/method experiement,NA,NA,NA,NA,NA,NA,2,6.4e-4,reef_km2,NA,NA,NA,NA,NA,2,2,0.70248,0.76178,0.982510666470502,0.92541411014685,0.948961435447922,0.838889295919115,0,0.876657630595648,NA,0.18,0.506,0.5257355769475301,-0.555830652515093,384.8,CI/Distance,Kenya,Western Indian Ocean,Mkwiro and Wasini - Wasini Island,-4.659,39.381,2021.9,,Bioengineering - Artificial Structures,NA,0.18,0.9539623883086761,67,0.3333333333333333
333,livelihood_div_256,no,lauric,yes,NA,"Mirera, DO; Kimathi, A; Ngarari, MM; Magondu, EW; Wainaina, M; Ototo, A Societal and environmental impacts of seaweed farming in relation to rural development: the case of kibuyuni village, south coast, kenya (2020) Ocean & Coastal Management",yes,2020,Seaweed Farming - Kibuyuni,SocioDev,Livelihood Diversification,SocioDev - Livelihood Diversification,Aquaculture,water column,NCP,Water Quality,NCP - Water Quality,water quality (undefined),neutral,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,Exogenous,Disparity,NA,2,2,0.70248,0.76178,0.991981756657349,0.93256315294898,0.948418272742597,0.778591838229907,0,0.855923510879918,NA,0.18,0.506,0.5278710533932942,-0.555830652515093,408,BACI/BA,Kenya,Western Indian Ocean,Kibuyuni,-4.640273,39.341753,2018,,NA,NA,0.18,0.9622724548031645,37,1
334,livelihood_div_256,no,lauric,yes,NA,"Mirera, DO; Kimathi, A; Ngarari, MM; Magondu, EW; Wainaina, M; Ototo, A Societal and environmental impacts of seaweed farming in relation to rural development: the case of kibuyuni village, south coast, kenya (2020) Ocean & Coastal Management",yes,2020,Seaweed Farming - Kibuyuni,SocioDev,Livelihood Diversification,SocioDev - Livelihood Diversification,Aquaculture,women,People,Social,People - Social,"cohesion, empowerment",beneficial,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,Exogenous,Disparity,NA,2,2,0.70248,0.76178,0.991981756657349,0.93256315294898,0.948418272742597,0.778591838229907,0,0.855923510879918,NA,0.18,0.506,0.5278710533932942,-0.555830652515093,408,BACI/BA,Kenya,Western Indian Ocean,Kibuyuni,-4.640273,39.341753,2018,,NA,NA,0.18,0.9622724548031645,37,0.5
335,livelihood_div_60,no,lauric,yes,NA,"Johnson, B; Nazar, AKA; Jayakumar, R; Tamilmani, G; Sakthivel, M; Rameshkumar, P; Gopakumar, G; Zacharia, PU Adoption of sea cage farming of cobia (rachycentron canadum)y by fishermen self-help groups as a diversified livelihood option: a success story from ramanathapuram district, tamil nadu, india (2019) Indian Journal Of Fisheries",yes,2019,Ramanathapuram Cobia Aquaculture,SocioDev,Livelihood Diversification,SocioDev - Livelihood Diversification,Aquaculture,fishers,People,Economic,People - Economic,income,beneficial,,NA,NA,NA,NA,NA,NA,co-managed,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,Exogenous,Disparity,NA,2,1,1.01412,0.62955,0.819240105929086,0.998525970556262,0.929482497050065,0.943237599824163,0,0.673950472562093,0.08,0.17,0.49,0.6964452077041973,-0.11242354412873595,350,BACI/BA,India,Central Indian Ocean,Ramanathapuram district,9.271051,79.148011,2018,,NA,NA,0.125,0.908883038242674,37,1
337,TransplRestock_1,no,lauric,yes,NA,"Hein, MY; Birtles, A; Willis, BL; Gardiner, N; Beeden, R; Marshall, NA Coral restoration: socio-ecological perspectives of benefits and limitations (2019) Biological Conservation",yes,2019,Reefscapers,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Community,Nature - Community,diversity,beneficial,,NA,staff numbers are inadequate/below optimum,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,1,2,-0.91558,0.76178,0,0,0.437339626528816,0.624313136493516,0,0.886328668766943,0.99,0.42,0.348,0.747,-0.06919084737698233,348.5,Perceptions/Survey,Maldives,Central Indian Ocean,Landaa Giraavaru,5.286218,73.112094,2017,,NA,NA,0.705,0,67,0.25
338,TransplRestock_979,no,lauric,external sources,NA,"Hein, MY; Beeden, R; Birtles, RA; Chase, TJ; Couture, F; Haskin, E; Marshall, N; Ripple, K; Terry, L; Willis, BL; Willis, R; Gardiner, NM Effects of coral restoration on fish communities: snapshots of long-term, multiregional responses and implications for practice (2020) Restoration Ecology",yes,2020,Reefscapers,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,abundance (large fish),neutral,,NA,staff numbers are inadequate/below optimum,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,1,2,-0.91558,0.76178,0,0,0.437339626528816,0.624313136493516,0,0.886328668766943,0.99,0.42,0.348,0.747,-0.06919084737698233,348.5,CI/Distance,Maldives,Central Indian Ocean,Landaa Giraavaru,5.286218,73.112094,2017,,NA,NA,0.705,0,67,1
339,livelihood_div_981,no,lauric,external sources,NA,"Busilacchi, S; Russ, GR; Williams, AJ; Sutton, SG; Begg, GA The role of subsistence fishing in the hybrid economy of an indigenous community (2013) Marine Policy",yes,2013,Community Development Employment Program (CDEP) payments,SocioDev,Social Protection,SocioDev - Social Protection,Social safety-net,coastal communities,NCP,Fishery,NCP - Fishery,fishing pressure,beneficial,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,0.40000000000009095,NA,NA,NA,NA,Exogenous,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.09,0.073,0.7995755076408386,1.498978644609451,335.1666666666667,BACI/BA,Australia,Australia,"Darnley, Murray and Yorke Islands - Torres Strait",-9.809159,143.767328,2006.4,,NA,NA,0.08,NA,7,1
340,livelihood_div_99,no,lauric,yes,NA,"Dung, LD Nha trang bay marine protected area, vietnam: initial trends in coral structure and some preliminary linkages between these trends and human activities (2002-2005) (2009) Aquatic Ecosystem Health & Management",yes,2009,Nha Trang Bay Marine Protected Area,MarCon,PPA,MarCon - PPA,NA,coral,Nature,Habitat,Nature - Habitat,cover,neutral,,NA,NA,NA,major deficiencies in staff capacity/resources to enforce legislation and regulations,NA,NA,state managed,poor or no compliance,NA,NA,NA,NA,NA,4.599999999999909,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12259,-1.23207,0.99678166838311,0.987286496047759,0.993688074769156,0.992288812367206,0,0.931112169389699,0.3,0.28,0.296,0.6855298156539599,-0.32852342848976485,254.33333333333334,BACI/BA,Vietnam,Southeast Asia,Nha Trang Bay,12.25396,109.2018,2006.6,,NA,NA,0.29000000000000004,0.9920340822154345,52,1
341,MarCon_1027,no,lauric,yes,NA,"Hawkins, JP; Roberts, CM; Dytham, C; Schelten, C; Nugues, MM Effects of habitat characteristics and sedimentation on performance of marine reserves in st. Lucia (2006) Biological Conservation",yes,2006,Soufriere Marine Management Area (SMMA),MarCon,FPA,MarCon - FPA,NA,fish,Nature,Species,Nature - Species,biomass,beneficial,,NA,NA,NA,NA,NA,formally gazetted/covenanted,state managed,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,4,NA,-2.14964,-1.04565,0.782348830366338,0.706649715328064,0.82697458373134,0.922796541871199,0,0,0.21,0.17,0.381,0.715,0.5367770368854202,426,BACI/BA,Saint Lucia,Caribbean-Atlantic,Soufriere,13.832049,-61.070836,2002,,NA,NA,0.19,0.744499272847201,225,1
342,MarCon_1175,no,lauric,yes,NA,"Mateos-Molina, D; Scharer-Umpierre, MT; Appeldoorn, RS; Garcia-Charton, JA Measuring the effectiveness of a caribbean oceanic island no-take zone with an asymmetrical baci approach (2014) Fisheries Research",yes,2014,Mona Island Natural Reserve,MarCon,FPA,MarCon - FPA,NA,fish,Nature,Community,Nature - Community,community composition,beneficial,,NA,NA,NA,NA,NA,formally gazetted/covenanted,state managed,medium compliance,NA,NA,NA,NA,NA,6,81,reef_km2,NA,NA,NA,NA,NA,0,2,-0.87966,-0.68221,0,0,0.618699780861943,0.352370137006374,0,0.950912154736611,NA,NA,0.179,0.921,0.43189967175324784,NA,BACI/BA,Puerto Rico,Caribbean-Atlantic,Mona Island,18.087128,-67.890135,2010,,NA,NA,NA,0,225,1
343,TransplRestock_1,no,lauric,yes,NA,"Hein, MY; Birtles, A; Willis, BL; Gardiner, N; Beeden, R; Marshall, NA Coral restoration: socio-ecological perspectives of benefits and limitations (2019) Biological Conservation",yes,2019,New Heaven Reef Conservation Program,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Community,Nature - Community,diversity,beneficial,,NA,staff numbers are inadequate/below optimum,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,2,-1.25822,0.46883,0,0,0.547676574703602,0.701901238185948,0,0.997930251300462,0.32,0.26,0.333,0.7832260876893997,-0.22188053900996832,322.1818181818182,Perceptions/Survey,Thailand,Southeast Asia,Koh Tao,10.0899,99.833221,2017,,NA,NA,0.29000000000000004,0,67,0.25
344,TransplRestock_979,no,lauric,external sources,NA,"Hein, MY; Beeden, R; Birtles, RA; Chase, TJ; Couture, F; Haskin, E; Marshall, N; Ripple, K; Terry, L; Willis, BL; Willis, R; Gardiner, NM Effects of coral restoration on fish communities: snapshots of long-term, multiregional responses and implications for practice (2020) Restoration Ecology",yes,2020,New Heaven Reef Conservation Program,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,abundance (large fish),mixed,,NA,staff numbers are inadequate/below optimum,NA,NA,NA,NA,private,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,2,-1.25822,0.46883,0,0,0.547676574703602,0.701901238185948,0,0.997930251300462,0.32,0.26,0.333,0.7832260876893997,-0.22188053900996832,322.1818181818182,CI/Distance,Thailand,Southeast Asia,Koh Tao,10.0899,99.833221,2017,,NA,NA,0.29000000000000004,0,67,1
345,MarCon_1175,no,lauric,yes,NA,"Mateos-Molina, D; Scharer-Umpierre, MT; Appeldoorn, RS; Garcia-Charton, JA Measuring the effectiveness of a caribbean oceanic island no-take zone with an asymmetrical baci approach (2014) Fisheries Research",yes,2014,Mona Island Natural Reserve,MarCon,FPA,MarCon - FPA,NA,fish,Nature,Species,Nature - Species,abundance and biomass,beneficial,,NA,NA,NA,NA,NA,formally gazetted/covenanted,state managed,medium compliance,NA,NA,NA,NA,NA,6,81,reef_km2,NA,NA,NA,NA,NA,0,2,-0.87966,-0.68221,0,0,0.618699780861943,0.352370137006374,0,0.950912154736611,NA,NA,0.179,0.921,0.43189967175324784,NA,BACI/BA,Puerto Rico,Caribbean-Atlantic,Mona Island,18.087128,-67.890135,2010,,NA,NA,NA,0,225,0.5
346,MarCon_1176,no,lauric,yes,NA,"Vanderklift, MA; Babcock, RC; Boschetti, F; Haywood, MDE; Pillans, RD; Thomson, DP Declining abundance of coral reef fish in a world-heritage-listed marine park (2019) Scientific Reports",yes,2019,Ningaloo Marine Park,MarCon,FPA,MarCon - FPA,NA,coral,Nature,Habitat,Nature - Habitat,cover,neutral,,NA,NA,NA,NA,NA,formally gazetted/covenanted,state managed,NA,NA,NA,NA,NA,NA,27,1185,reef_km2,NA,NA,NA,NA,NA,3,2,-2.68508,-0.28848,0.659335000735619,0.632008549370774,0.263059317113371,0.348651915891274,0,0.902373800278409,0.07,0.09,0.073,0.8099174698193868,1.498978644609451,337.8888888888889,BACI/BA,Australia,Australia,Mandu Sanctuary Zone,-22.143946,113.86613,2016,,NA,NA,0.08,0.6456717750531965,225,1
347,TransplRestock_1,no,lauric,yes,NA,"Hein, MY; Birtles, A; Willis, BL; Gardiner, N; Beeden, R; Marshall, NA Coral restoration: socio-ecological perspectives of benefits and limitations (2019) Biological Conservation",yes,2019,Coral Restoration Foundation,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Community,Nature - Community,diversity,beneficial,,NA,staff numbers are inadequate/below optimum,NA,NA,NA,NA,co-managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,3,2,-0.45475,-0.89181,0.500404590260409,0.700993127337719,0.518083572137626,0.56579236574108,0,0.987453293281559,0.05,0.04,0.179,0.8726178547915291,1.026755290882042,376.09090909090907,Perceptions/Survey,United States,Caribbean-Atlantic,Florida,25.005758,-80.377218,2017,,NA,NA,0.045,0.600698858799064,67,0.25
348,TransplRestock_979,no,lauric,external sources,NA,"Hein, MY; Beeden, R; Birtles, RA; Chase, TJ; Couture, F; Haskin, E; Marshall, N; Ripple, K; Terry, L; Willis, BL; Willis, R; Gardiner, NM Effects of coral restoration on fish communities: snapshots of long-term, multiregional responses and implications for practice (2020) Restoration Ecology",yes,2020,Coral Restoration Foundation,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,abundance (medium fish),neutral,,NA,staff numbers are inadequate/below optimum,NA,NA,NA,NA,co-managed,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,3,2,-0.45475,-0.89181,0.500404590260409,0.700993127337719,0.518083572137626,0.56579236574108,0,0.987453293281559,0.05,0.04,0.179,0.8726178547915291,1.026755290882042,376.09090909090907,CI/Distance,United States,Caribbean-Atlantic,Florida,25.005758,-80.377218,2017,,NA,NA,0.045,0.600698858799064,67,1
349,TransplRestock_26,no,lauric,yes,NA,"Ladd, MC; Burkepile, DE; Shantz, AA Near-term impacts of coral restoration on target species, coral reef community structure, and ecological processes (2019) Restoration Ecology",yes,2019,Coral Transplantation - Conch Reef,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Species,Nature - Species,biomass,harmful,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.599999999999909,NA,NA,NA,NA,NA,NA,NA,0,3,-0.44405,-0.88027,0.468993673679565,0.632248079155381,0.542750650858759,0.77174151952524,0,0.957066451754707,0.05,0.04,0.179,0.8665541484951973,1.026755290882042,410.75,CI/Distance,United States,Caribbean-Atlantic,Conch Reef - Florida Keys,24.95596,-80.450611,2014.6,,NA,NA,0.045,0.5506208764174729,67,1
350,TransplRestock_26,no,lauric,yes,NA,"Ladd, MC; Burkepile, DE; Shantz, AA Near-term impacts of coral restoration on target species, coral reef community structure, and ecological processes (2019) Restoration Ecology",yes,2019,Coral Transplantation - Conch Reef,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,fish,Nature,Functions,Nature - Functions,herbivory,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.599999999999909,NA,NA,NA,NA,NA,NA,NA,0,3,-0.44405,-0.88027,0.468993673679565,0.632248079155381,0.542750650858759,0.77174151952524,0,0.957066451754707,0.05,0.04,0.179,0.8665541484951973,1.026755290882042,410.75,CI/Distance,United States,Caribbean-Atlantic,Conch Reef - Florida Keys,24.95596,-80.450611,2014.6,,NA,NA,0.045,0.5506208764174729,67,0.5
